#{"t_start": 1744150009.0741644, "env_id": "RouterEnv-v0"}
r,l,t
182.829932,400,401.27804
161.424702,400,402.005795
229.23797,400,402.630649
235.328793,400,404.342051
43.705803,400,405.142082
33.872711,400,405.955511
279.738962,400,406.541171
154.621575,400,407.22061
78.665359,400,408.910059
56.262894,400,409.666446
90.060381,400,410.43876
-3366.22933,400,411.190041
165.197896,400,412.098024
10.014024,400,414.468708
231.757781,400,415.202434
228.757194,400,415.878546
212.975147,400,416.480652
-2.809021,400,417.337557
245.338615,400,418.870595
176.794904,400,419.625214
179.423434,400,420.289369
58.144023,400,421.083008
-4162.765381,400,421.829336
188.134965,400,423.411139
178.904675,400,424.079029
232.538598,400,424.728019
200.527314,400,425.425753
213.420711,400,426.159411
90.873146,400,427.97932
171.833445,400,428.771132
77.707989,400,429.587511
63.692041,400,430.461928
222.871353,400,431.12614
206.729366,400,432.658926
139.584926,400,433.319211
129.332554,400,434.030906
116.654002,400,434.764781
217.931627,400,435.369259
-122.817294,400,436.872241
-2233.736924,400,437.667057
176.680062,400,438.411354
118.943208,400,439.140674
185.295414,400,439.805798
303.57502,400,440.402058
269.31353,400,442.014091
147.978923,400,442.777298
147.060526,400,443.488871
-2887.519868,400,444.195747
-2236.52285,400,444.938106
280.678097,400,446.445114
70.995293,400,447.162694
-1.050507,400,447.788371
191.50083,400,448.44779
239.559838,400,449.090795
166.257346,400,450.673271
-2831.850518,400,451.502671
-240.669604,400,452.247632
115.496237,400,453.043818
-235.185518,400,453.837838
206.156584,400,455.717679
253.591451,400,456.527369
187.097771,400,457.345702
213.57503,400,458.069569
-181.554721,400,458.817228
227.511033,400,460.657549
243.652897,400,461.354573
144.364912,400,462.155442
104.913277,400,462.966789
160.570978,400,463.716371
218.584534,400,465.363382
157.949623,400,466.088297
157.904807,400,466.808528
183.479418,400,467.523561
108.96057,400,468.273827
